"5474657","GG01","ATV","1","3N1149","F13KSX00","DP1846545.00C","ET6XN5V-HSY2ZC8CM3",25,896,300,"YOK","20240904140704","AMKVN","GE9WH055SE","DP1846545-01C6",1,49,742,"GE9WH054SE","DP1846545-02C1",2,35,742,"GE9WH053SE","DP1846545-03B4",3,26,742,"GE9WH052SE","DP1846545-04A7",4,30,742,"GE9WH051SE","DP1846545-05A2",5,45,742,"GE9WH050SE","DP1846545-06H0",6,83,742,"GE9WH049SE","DP1846545-07G3",7,36,742,"GE9WH048SE","DP1846545-08F6",8,36,742,"GE9WH047SE","DP1846545-09F1",9,33,742,"GE9WH046SE","DP1846545-10F6",10,41,742,"GE9WH045SE","DP1846545-11F1",11,35,742,"GE9WH044SE","DP1846545-12E4",12,22,742,"GE9WH043SE","DP1846545-13D7",13,34,742,"GE9WH042SE","DP1846545-14D2",14,43,742,"GE9WH041SE","DP1846545-15C5",15,25,742,"GE9WH040SE","DP1846545-16C0",16,34,742,"GE9WH039SE","DP1846545-17B3",17,38,742,"GE9WH038SE","DP1846545-18A6",18,34,742,"GE9WH037SE","DP1846545-19A1",19,33,742,"GE9WH036SE","DP1846545-20A6",20,31,742,"GE9WH035SE","DP1846545-21A1",21,29,742,"GE9WH034SE","DP1846545-22G7",22,27,742,"GE9WH033SE","DP1846545-23G2",23,34,742,"GE9WH032SE","DP1846545-24F5",24,26,742,"GE9WH031SE","DP1846545-25F0",25,37,742,"01","20240904140704","VFAAA030","20240904143704",""
"5474658","GG01","ATV","1","3N1495","F13KC700","DP1845943.00C","ET6XN5V-HSY21A8000",25,16382,300,"YOK","20240904140704","AMKVN","GE5QY125SE","DP1845943-01H0",1,645,742,"GE5QY126SE","DP1845943-02G3",2,622,742,"GE5QY076SE","DP1845943-03F6",3,662,742,"GE5QY077SE","DP1845943-04F1",4,666,742,"GE5QY078SE","DP1845943-05E4",5,653,742,"GE5QY079SE","DP1845943-06D7",6,668,742,"GE5QY080SE","DP1845943-07D2",7,635,742,"GE5QY081SE","DP1845943-08C5",8,656,742,"GE5QY082SE","DP1845943-09C0",9,660,742,"GE5QY083SE","DP1845943-10C5",10,644,742,"GE5QY084SE","DP1845943-11C0",11,651,742,"GE5QY085SE","DP1845943-12B3",12,662,742,"GE5QY086SE","DP1845943-13A6",13,668,742,"GE5QY087SE","DP1845943-14A1",14,655,742,"GE5QY089SE","DP1845943-15G7",15,655,742,"GE5QY090SE","DP1845943-16G2",16,676,742,"GE5QY091SE","DP1845943-17F5",17,665,742,"GE5QY092SE","DP1845943-18F0",18,633,742,"GE5QY093SE","DP1845943-19E3",19,668,742,"GE5QY094SE","DP1845943-20F0",20,665,742,"GE5QY095SE","DP1845943-21E3",21,679,742,"GE5QY096SE","DP1845943-22D6",22,636,742,"GE5QY097SE","DP1845943-23D1",23,663,742,"GE5QY098SE","DP1845943-24C4",24,671,742,"GE5QY099SE","DP1845943-25B7",25,624,742,"01","20240904140704","VFAAA030","20240904143704",""
"5474659","GG01","ATV","1","3N1498","F13KC700","DP1845943.00C","ET6XN5V-HSY2ZC8CM3",25,856,300,"YOK","20240904140704","AMKVN","GE5QY125SE","DP1845943-01H0",1,46,742,"GE5QY126SE","DP1845943-02G3",2,66,742,"GE5QY076SE","DP1845943-03F6",3,29,742,"GE5QY077SE","DP1845943-04F1",4,20,742,"GE5QY078SE","DP1845943-05E4",5,32,742,"GE5QY079SE","DP1845943-06D7",6,31,742,"GE5QY080SE","DP1845943-07D2",7,36,742,"GE5QY081SE","DP1845943-08C5",8,34,742,"GE5QY082SE","DP1845943-09C0",9,31,742,"GE5QY083SE","DP1845943-10C5",10,32,742,"GE5QY084SE","DP1845943-11C0",11,42,742,"GE5QY085SE","DP1845943-12B3",12,25,742,"GE5QY086SE","DP1845943-13A6",13,24,742,"GE5QY087SE","DP1845943-14A1",14,41,742,"GE5QY089SE","DP1845943-15G7",15,28,742,"GE5QY090SE","DP1845943-16G2",16,26,742,"GE5QY091SE","DP1845943-17F5",17,33,742,"GE5QY092SE","DP1845943-18F0",18,46,742,"GE5QY093SE","DP1845943-19E3",19,21,742,"GE5QY094SE","DP1845943-20F0",20,22,742,"GE5QY095SE","DP1845943-21E3",21,36,742,"GE5QY096SE","DP1845943-22D6",22,44,742,"GE5QY097SE","DP1845943-23D1",23,34,742,"GE5QY098SE","DP1845943-24C4",24,34,742,"GE5QY099SE","DP1845943-25B7",25,43,742,"01","20240904140704","VFAAA030","20240904143704",""
"5474660","GG01","ATV","1","3N1618","F13JDU00","DP1844706.00C","ET6XN5V-HSY21A8000",25,16101,300,"YOK","20240904140705","AMKVN","GE5HG314SE","DP1844706-01F4",1,631,742,"GE5HG315SE","DP1844706-02E7",2,607,742,"GE5HG316SE","DP1844706-03E2",3,641,742,"GE5HG317SE","DP1844706-04D5",4,593,742,"GE5HG318SE","DP1844706-05D0",5,657,742,"GE5HG319SE","DP1844706-06C3",6,647,742,"GE5HG320SE","DP1844706-07B6",7,654,742,"GE5HG321SE","DP1844706-08B1",8,648,742,"GE5HG322SE","DP1844706-09A4",9,620,742,"GE5HG323SE","DP1844706-10B1",10,646,742,"GE5HG324SE","DP1844706-11A4",11,628,742,"GE5HG325SE","DP1844706-12H2",12,658,742,"GE5HG326SE","DP1844706-13G5",13,656,742,"GE5HG327SE","DP1844706-14G0",14,660,742,"GE5HG328SE","DP1844706-15F3",15,650,742,"GE5HG329SE","DP1844706-16E6",16,647,742,"GE5HG330SE","DP1844706-17E1",17,639,742,"GE5HG331SE","DP1844706-18D4",18,639,742,"GE5HG333SE","DP1844706-19C7",19,627,742,"GE5HG334SE","DP1844706-20D4",20,654,742,"GE5HG335SE","DP1844706-21C7",21,648,742,"GE5HG336SE","DP1844706-22C2",22,657,742,"GE5HG337SE","DP1844706-23B5",23,677,742,"GE5HG338SE","DP1844706-24B0",24,667,742,"GE5HG339SE","DP1844706-25A3",25,650,742,"01","20240904140705","VFAAA030","20240904143704",""
"5474661","GG01","ATV","1","3N1621","F13JDU00","DP1844706.00C","ET6XN5V-HSY2ZC8CM3",25,945,300,"YOK","20240904140705","AMKVN","GE5HG314SE","DP1844706-01F4",1,44,742,"GE5HG315SE","DP1844706-02E7",2,57,742,"GE5HG316SE","DP1844706-03E2",3,40,742,"GE5HG317SE","DP1844706-04D5",4,53,742,"GE5HG318SE","DP1844706-05D0",5,38,742,"GE5HG319SE","DP1844706-06C3",6,30,742,"GE5HG320SE","DP1844706-07B6",7,37,742,"GE5HG321SE","DP1844706-08B1",8,35,742,"GE5HG322SE","DP1844706-09A4",9,56,742,"GE5HG323SE","DP1844706-10B1",10,35,742,"GE5HG324SE","DP1844706-11A4",11,37,742,"GE5HG325SE","DP1844706-12H2",12,29,742,"GE5HG326SE","DP1844706-13G5",13,34,742,"GE5HG327SE","DP1844706-14G0",14,36,742,"GE5HG328SE","DP1844706-15F3",15,34,742,"GE5HG329SE","DP1844706-16E6",16,40,742,"GE5HG330SE","DP1844706-17E1",17,43,742,"GE5HG331SE","DP1844706-18D4",18,41,742,"GE5HG333SE","DP1844706-19C7",19,46,742,"GE5HG334SE","DP1844706-20D4",20,30,742,"GE5HG335SE","DP1844706-21C7",21,34,742,"GE5HG336SE","DP1844706-22C2",22,32,742,"GE5HG337SE","DP1844706-23B5",23,21,742,"GE5HG338SE","DP1844706-24B0",24,33,742,"GE5HG339SE","DP1844706-25A3",25,30,742,"01","20240904140705","VFAAA030","20240904143704",""
"5474662","GG01","ATV","1","3N1738","F13JQ000","DP1845144.00C","ET6XN5V-HSY21A8000",25,16083,300,"YOK","20240904140704","AMKVN","GF0JE335SE","DP1845144-01B1",1,652,742,"GF0JE334SE","DP1845144-02A4",2,666,742,"GF0JE333SE","DP1845144-03H2",3,617,742,"GF0JE332SE","DP1845144-04G5",4,655,742,"GF0JE331SE","DP1845144-05G0",5,674,742,"GF0JE330SE","DP1845144-06F3",6,676,742,"GF0JE329SE","DP1845144-07E6",7,649,742,"GF0JE328SE","DP1845144-08E1",8,651,742,"GF0JE327SE","DP1845144-09D4",9,653,742,"GF0JE326SE","DP1845144-10E1",10,631,742,"GF0JE325SE","DP1845144-11D4",11,686,742,"GF0JE324SE","DP1845144-12C7",12,672,742,"GF0JE323SE","DP1845144-13C2",13,657,742,"GF0JE322SE","DP1845144-14B5",14,611,742,"GF0JE321SE","DP1845144-15B0",15,632,742,"GF0JE320SE","DP1845144-16A3",16,578,742,"GF0JE319SE","DP1845144-17H1",17,662,742,"GF0JE318SE","DP1845144-18G4",18,655,742,"GF0JE317SE","DP1845144-19F7",19,654,742,"GF0JE316SE","DP1845144-20G4",20,638,742,"GF0JE315SE","DP1845144-21F7",21,647,742,"GF0JE314SE","DP1845144-22F2",22,640,742,"GF0JE313SE","DP1845144-23E5",23,598,742,"GF0JE312SE","DP1845144-24E0",24,588,742,"GF0JE311SE","DP1845144-25D3",25,641,742,"01","20240904140704","VFAAA030","20240904143704",""
"5474663","GG01","ATV","1","3N1741","F13JQ000","DP1845144.00C","ET6XN5V-HSY2ZC8CM3",25,952,300,"YOK","20240904140704","AMKVN","GF0JE335SE","DP1845144-01B1",1,40,742,"GF0JE334SE","DP1845144-02A4",2,35,742,"GF0JE333SE","DP1845144-03H2",3,58,742,"GF0JE332SE","DP1845144-04G5",4,22,742,"GF0JE331SE","DP1845144-05G0",5,17,742,"GF0JE330SE","DP1845144-06F3",6,26,742,"GF0JE329SE","DP1845144-07E6",7,41,742,"GF0JE328SE","DP1845144-08E1",8,44,742,"GF0JE327SE","DP1845144-09D4",9,33,742,"GF0JE326SE","DP1845144-10E1",10,36,742,"GF0JE325SE","DP1845144-11D4",11,16,742,"GF0JE324SE","DP1845144-12C7",12,24,742,"GF0JE323SE","DP1845144-13C2",13,37,742,"GF0JE322SE","DP1845144-14B5",14,28,742,"GF0JE321SE","DP1845144-15B0",15,41,742,"GF0JE320SE","DP1845144-16A3",16,94,742,"GF0JE319SE","DP1845144-17H1",17,29,742,"GF0JE318SE","DP1845144-18G4",18,38,742,"GF0JE317SE","DP1845144-19F7",19,39,742,"GF0JE316SE","DP1845144-20G4",20,31,742,"GF0JE315SE","DP1845144-21F7",21,48,742,"GF0JE314SE","DP1845144-22F2",22,39,742,"GF0JE313SE","DP1845144-23E5",23,56,742,"GF0JE312SE","DP1845144-24E0",24,39,742,"GF0JE311SE","DP1845144-25D3",25,41,742,"01","20240904140704","VFAAA030","20240904143704",""
"5474664","GG01","ATV","1","3N2376","F13KNE00","DP1846346.00C","ET6XN5V-HSY21A8000",20,13034,300,"YOK","20240904140703","AMKVN","GE9WH356SE","DP1846346-01G4",1,655,742,"GE9WH355SE","DP1846346-02F7",2,640,742,"GE9WH354SE","DP1846346-03F2",3,633,742,"","",,,,"GE9WH352SE","DP1846346-05E0",5,682,742,"GE9WH351SE","DP1846346-06D3",6,661,742,"GE9WH350SE","DP1846346-07C6",7,663,742,"GE9WH349SE","DP1846346-08C1",8,676,742,"","",,,,"GE9WH347SE","DP1846346-10C1",10,667,742,"GE9WH346SE","DP1846346-11B4",11,692,742,"GE9WH345SE","DP1846346-12A7",12,544,742,"GE9WH343SE","DP1846346-13A2",13,662,742,"","",,,,"GE9WH341SE","DP1846346-15G3",15,672,742,"GE9WH339SE","DP1846346-16F6",16,669,742,"GE9WH338SE","DP1846346-17F1",17,663,742,"GE9WH337SE","DP1846346-18E4",18,648,742,"","",,,,"GE9WH335SE","DP1846346-20E4",20,668,742,"GE9WH334SE","DP1846346-21D7",21,660,742,"GE9WH333SE","DP1846346-22D2",22,672,742,"GE9WH332SE","DP1846346-23C5",23,683,742,"","",,,,"GE9WH330SE","DP1846346-25B3",25,524,742,"01","20240904140703","VFAAA030","20240904143704",""
"5474665","GG01","ATV","1","3N2379","F13KNE00","DP1846346.00C","ET6XN5V-HSY2ZC8CM3",20,690,300,"YOK","20240904140703","AMKVN","GE9WH356SE","DP1846346-01G4",1,32,742,"GE9WH355SE","DP1846346-02F7",2,68,742,"GE9WH354SE","DP1846346-03F2",3,51,742,"","",,,,"GE9WH352SE","DP1846346-05E0",5,19,742,"GE9WH351SE","DP1846346-06D3",6,35,742,"GE9WH350SE","DP1846346-07C6",7,29,742,"GE9WH349SE","DP1846346-08C1",8,29,742,"","",,,,"GE9WH347SE","DP1846346-10C1",10,29,742,"GE9WH346SE","DP1846346-11B4",11,15,742,"GE9WH345SE","DP1846346-12A7",12,44,742,"GE9WH343SE","DP1846346-13A2",13,27,742,"","",,,,"GE9WH341SE","DP1846346-15G3",15,28,742,"GE9WH339SE","DP1846346-16F6",16,29,742,"GE9WH338SE","DP1846346-17F1",17,30,742,"GE9WH337SE","DP1846346-18E4",18,29,742,"","",,,,"GE9WH335SE","DP1846346-20E4",20,38,742,"GE9WH334SE","DP1846346-21D7",21,41,742,"GE9WH333SE","DP1846346-22D2",22,36,742,"GE9WH332SE","DP1846346-23C5",23,22,742,"","",,,,"GE9WH330SE","DP1846346-25B3",25,59,742,"01","20240904140703","VFAAA030","20240904143704",""
"5474666","GG01","ATV","1","3N2384","F13KZ500","DP1846769.00C","ET6XN5V-HSY21A8000",25,16160,300,"YOK","20240904140705","AMKVN","PWNPZ153MX","DP1846769-01F0",1,627,742,"PWNPZ152MX","DP1846769-02E3",2,546,742,"PWNPZ151MX","DP1846769-03D6",3,584,742,"PWNPZ125MX","DP1846769-04D1",4,665,742,"PWNPZ124MX","DP1846769-05C4",5,684,742,"PWNPZ123MX","DP1846769-06B7",6,625,742,"PWNPZ122MX","DP1846769-07B2",7,666,742,"PWNPZ121MX","DP1846769-08A5",8,647,742,"PWNPZ120MX","DP1846769-09A0",9,658,742,"PWNPZ119MX","DP1846769-10A5",10,648,742,"PWNPZ118MX","DP1846769-11A0",11,644,742,"PWNPZ117MX","DP1846769-12G6",12,646,742,"PWNPZ116MX","DP1846769-13G1",13,661,742,"PWNPZ115MX","DP1846769-14F4",14,650,742,"PWNPZ114MX","DP1846769-15E7",15,676,742,"PWNPZ113MX","DP1846769-16E2",16,658,742,"PWNPZ112MX","DP1846769-17D5",17,637,742,"PWNPZ111MX","DP1846769-18D0",18,657,742,"PWNPZ110MX","DP1846769-19C3",19,682,742,"PWNPZ109MX","DP1846769-20D0",20,643,742,"PWNPZ108MX","DP1846769-21C3",21,647,742,"PWNPZ107MX","DP1846769-22B6",22,642,742,"PWNPZ106MX","DP1846769-23B1",23,664,742,"PWNPZ105MX","DP1846769-24A4",24,664,742,"PWNPZ104MX","DP1846769-25H2",25,639,742,"01","20240904140705","VFAAA030","20240904143704",""
"5474667","GG01","ATV","1","3N2387","F13KZ500","DP1846769.00C","ET6XN5V-HSY2ZC8CM3",25,1055,300,"YOK","20240904140705","AMKVN","PWNPZ153MX","DP1846769-01F0",1,43,742,"PWNPZ152MX","DP1846769-02E3",2,77,742,"PWNPZ151MX","DP1846769-03D6",3,84,742,"PWNPZ125MX","DP1846769-04D1",4,27,742,"PWNPZ124MX","DP1846769-05C4",5,26,742,"PWNPZ123MX","DP1846769-06B7",6,40,742,"PWNPZ122MX","DP1846769-07B2",7,30,742,"PWNPZ121MX","DP1846769-08A5",8,53,742,"PWNPZ120MX","DP1846769-09A0",9,43,742,"PWNPZ119MX","DP1846769-10A5",10,41,742,"PWNPZ118MX","DP1846769-11A0",11,50,742,"PWNPZ117MX","DP1846769-12G6",12,49,742,"PWNPZ116MX","DP1846769-13G1",13,33,742,"PWNPZ115MX","DP1846769-14F4",14,49,742,"PWNPZ114MX","DP1846769-15E7",15,28,742,"PWNPZ113MX","DP1846769-16E2",16,34,742,"PWNPZ112MX","DP1846769-17D5",17,44,742,"PWNPZ111MX","DP1846769-18D0",18,32,742,"PWNPZ110MX","DP1846769-19C3",19,27,742,"PWNPZ109MX","DP1846769-20D0",20,46,742,"PWNPZ108MX","DP1846769-21C3",21,40,742,"PWNPZ107MX","DP1846769-22B6",22,38,742,"PWNPZ106MX","DP1846769-23B1",23,37,742,"PWNPZ105MX","DP1846769-24A4",24,34,742,"PWNPZ104MX","DP1846769-25H2",25,50,742,"01","20240904140705","VFAAA030","20240904143704",""
"5474668","GG01","ATV","1","3N2610","F13KHT00","DP1846145.00C","ET6XN5V-HSY21A8000",25,16030,300,"YOK","20240904140704","AMKVN","GF3AB125SE","DP1846145-01B2",1,635,742,"GF3AB076SE","DP1846145-02A5",2,635,742,"GF3AB077SE","DP1846145-03A0",3,653,742,"GF3AB078SE","DP1846145-04G6",4,666,742,"GF3AB079SE","DP1846145-05G1",5,664,742,"GF3AB080SE","DP1846145-06F4",6,667,742,"GF3AB081SE","DP1846145-07E7",7,654,742,"GF3AB082SE","DP1846145-08E2",8,619,742,"GF3AB083SE","DP1846145-09D5",9,661,742,"GF3AB084SE","DP1846145-10E2",10,666,742,"GF3AB085SE","DP1846145-11D5",11,663,742,"GF3AB086SE","DP1846145-12D0",12,666,742,"GF3AB087SE","DP1846145-13C3",13,607,742,"GF3AB088SE","DP1846145-14B6",14,648,742,"GF3AB089SE","DP1846145-15B1",15,641,742,"GF3AB090SE","DP1846145-16A4",16,623,742,"GF3AB091SE","DP1846145-17H2",17,590,742,"GF3AB092SE","DP1846145-18G5",18,624,742,"GF3AB093SE","DP1846145-19G0",19,620,742,"GF3AB094SE","DP1846145-20G5",20,610,742,"GF3AB095SE","DP1846145-21G0",21,630,742,"GF3AB096SE","DP1846145-22F3",22,641,742,"GF3AB097SE","DP1846145-23E6",23,666,742,"GF3AB098SE","DP1846145-24E1",24,636,742,"GF3AB099SE","DP1846145-25D4",25,645,742,"01","20240904140704","VFAAA030","20240904143704",""
"5474669","GG01","ATV","1","3N2613","F13KHT00","DP1846145.00C","ET6XN5V-HSY2ZC8CM3",25,902,300,"YOK","20240904140704","AMKVN","GF3AB125SE","DP1846145-01B2",1,37,742,"GF3AB076SE","DP1846145-02A5",2,49,742,"GF3AB077SE","DP1846145-03A0",3,37,742,"GF3AB078SE","DP1846145-04G6",4,35,742,"GF3AB079SE","DP1846145-05G1",5,31,742,"GF3AB080SE","DP1846145-06F4",6,27,742,"GF3AB081SE","DP1846145-07E7",7,30,742,"GF3AB082SE","DP1846145-08E2",8,42,742,"GF3AB083SE","DP1846145-09D5",9,27,742,"GF3AB084SE","DP1846145-10E2",10,28,742,"GF3AB085SE","DP1846145-11D5",11,25,742,"GF3AB086SE","DP1846145-12D0",12,30,742,"GF3AB087SE","DP1846145-13C3",13,57,742,"GF3AB088SE","DP1846145-14B6",14,29,742,"GF3AB089SE","DP1846145-15B1",15,37,742,"GF3AB090SE","DP1846145-16A4",16,35,742,"GF3AB091SE","DP1846145-17H2",17,46,742,"GF3AB092SE","DP1846145-18G5",18,27,742,"GF3AB093SE","DP1846145-19G0",19,41,742,"GF3AB094SE","DP1846145-20G5",20,41,742,"GF3AB095SE","DP1846145-21G0",21,37,742,"GF3AB096SE","DP1846145-22F3",22,30,742,"GF3AB097SE","DP1846145-23E6",23,34,742,"GF3AB098SE","DP1846145-24E1",24,44,742,"GF3AB099SE","DP1846145-25D4",25,46,742,"01","20240904140704","VFAAA030","20240904143704",""
"5474670","GG01","ATV","1","3N2874","F13JDZ00","DP1844711.00C","ET6XN5V-HSY21A8000",25,16375,300,"YOK","20240904140704","AMKVN","GE5HF104SE","DP1844711-01E2",1,631,742,"GE5HF105SE","DP1844711-02D5",2,650,742,"GE5HF106SE","DP1844711-03D0",3,648,742,"GE5HF107SE","DP1844711-04C3",4,647,742,"GE5HF108SE","DP1844711-05B6",5,669,742,"GE5HF109SE","DP1844711-06B1",6,623,742,"GE5HF110SE","DP1844711-07A4",7,671,742,"GE5HF111SE","DP1844711-08H2",8,651,742,"GE5HF112SE","DP1844711-09G5",9,669,742,"GE5HF113SE","DP1844711-10H2",10,659,742,"GE5HF114SE","DP1844711-11G5",11,683,742,"GE5HF115SE","DP1844711-12G0",12,636,742,"GE5HF116SE","DP1844711-13F3",13,651,742,"GE5HF117SE","DP1844711-14E6",14,669,742,"GE5HF118SE","DP1844711-15E1",15,674,742,"GE5HF119SE","DP1844711-16D4",16,640,742,"GE5HF120SE","DP1844711-17C7",17,665,742,"GE5HF121SE","DP1844711-18C2",18,655,742,"GE5HF122SE","DP1844711-19B5",19,658,742,"GE5HF123SE","DP1844711-20C2",20,640,742,"GE5HF124SE","DP1844711-21B5",21,666,742,"GE5HF125SE","DP1844711-22B0",22,634,742,"GE5HF126SE","DP1844711-23A3",23,668,742,"GE5HF127SE","DP1844711-24H1",24,642,742,"GE5HF128SE","DP1844711-25G4",25,676,742,"01","20240904140704","VFAAA030","20240904143704",""
"5474671","GG01","ATV","1","3N2877","F13JDZ00","DP1844711.00C","ET6XN5V-HSY2ZC8CM3",25,881,300,"YOK","20240904140704","AMKVN","GE5HF104SE","DP1844711-01E2",1,32,742,"GE5HF105SE","DP1844711-02D5",2,39,742,"GE5HF106SE","DP1844711-03D0",3,45,742,"GE5HF107SE","DP1844711-04C3",4,41,742,"GE5HF108SE","DP1844711-05B6",5,22,742,"GE5HF109SE","DP1844711-06B1",6,52,742,"GE5HF110SE","DP1844711-07A4",7,26,742,"GE5HF111SE","DP1844711-08H2",8,35,742,"GE5HF112SE","DP1844711-09G5",9,38,742,"GE5HF113SE","DP1844711-10H2",10,34,742,"GE5HF114SE","DP1844711-11G5",11,29,742,"GE5HF115SE","DP1844711-12G0",12,45,742,"GE5HF116SE","DP1844711-13F3",13,37,742,"GE5HF117SE","DP1844711-14E6",14,28,742,"GE5HF118SE","DP1844711-15E1",15,28,742,"GE5HF119SE","DP1844711-16D4",16,40,742,"GE5HF120SE","DP1844711-17C7",17,35,742,"GE5HF121SE","DP1844711-18C2",18,25,742,"GE5HF122SE","DP1844711-19B5",19,44,742,"GE5HF123SE","DP1844711-20C2",20,29,742,"GE5HF124SE","DP1844711-21B5",21,30,742,"GE5HF125SE","DP1844711-22B0",22,49,742,"GE5HF126SE","DP1844711-23A3",23,35,742,"GE5HF127SE","DP1844711-24H1",24,28,742,"GE5HF128SE","DP1844711-25G4",25,35,742,"01","20240904140704","VFAAA030","20240904143704",""
"5474672","GG01","ATV","1","3N4050","F13I3B00","DP1843031.00C","ET6XN5V-HSY21A8000",25,16300,300,"YOK","20240904140704","AMKVN","PWKZT050MX","DP1843031-01E2",1,638,742,"PWKZT049MX","DP1843031-02D5",2,670,742,"PWKZT048MX","DP1843031-03D0",3,637,742,"PWKZT047MX","DP1843031-04C3",4,658,742,"PWKZT046MX","DP1843031-05B6",5,667,742,"PWKZT045MX","DP1843031-06B1",6,662,742,"PWKZT044MX","DP1843031-07A4",7,641,742,"PWKZT043MX","DP1843031-08H2",8,661,742,"PWKZT042MX","DP1843031-09G5",9,614,742,"PWKZT041MX","DP1843031-10H2",10,674,742,"PWKZT040MX","DP1843031-11G5",11,617,742,"PWKZT039MX","DP1843031-12G0",12,673,742,"PWKZT038MX","DP1843031-13F3",13,661,742,"PWKZT037MX","DP1843031-14E6",14,622,742,"PWKZT036MX","DP1843031-15E1",15,651,742,"PWKZT035MX","DP1843031-16D4",16,669,742,"PWKZT034MX","DP1843031-17C7",17,643,742,"PWKZT033MX","DP1843031-18C2",18,650,742,"PWKZT032MX","DP1843031-19B5",19,635,742,"PWKZT031MX","DP1843031-20C2",20,682,742,"PWKZT030MX","DP1843031-21B5",21,622,742,"PWKZT029MX","DP1843031-22B0",22,660,742,"PWKZT028MX","DP1843031-23A3",23,652,742,"PWKZT027MX","DP1843031-24H1",24,680,742,"PWKZT026MX","DP1843031-25G4",25,661,742,"01","20240904140704","VFAAA030","20240904143704",""
